##;##
@MONITOR
Status;Event;Command;Issue;Start;Stop;Workload;Energy;Name
0;0x1d9a080;11f4;26080212364444061;26080212364445785;26080212394160026;1;0.70757;-
0;0x18511e0;11f0;26080212394374456;26080212394388751;26080212447620440;1;1.26758;kmeans_swap
0;0x1d9a350;11f4;26080212447647844;26080212447648572;26080212447651544;1;7.07946e-05;-
0;0x1851440;11f0;26080212447706193;26080212447717758;26080212490556519;1;1.0201;kmeans_kernel_c
0;0x1850470;11f3;26080212490611821;26080212490612409;26080212492029742;1;0.0337503;-
0;0x18506f0;11f4;26080212506412777;26080212506414361;26080212506417591;1;7.69382e-05;-
0;0x1853d50;11f0;26080212506465701;26080212506488426;26080212549592430;1;0.990551;kmeans_kernel_c
0;0x18541a0;11f3;26080212549777109;26080212549777701;26080212550148089;1;0.00872874;-
0;0x1857ad0;11f4;26080212564082793;26080212564084553;26080212564087468;1;6.87196e-05;-
0;0x1857e60;11f0;26080212564137753;26080212564152502;26080212606244197;1;0.99195;kmeans_kernel_c
0;0x191be80;11f3;26080212606428220;26080212606429120;26080212606802368;1;0.00879614;-
0;0x191c210;11f4;26080212620816111;26080212620817693;26080212620820671;1;6.80748e-05;-
0;0x18531c0;11f0;26080212620870789;26080212620885368;26080212662866935;1;0.959344;kmeans_kernel_c
0;0x1853720;11f3;26080212663041009;26080212663041589;26080212663412650;1;0.00847935;-
0;0x19b0280;11f4;26080212677097577;26080212677099228;26080212677102615;1;7.74211e-05;-
0;0x19b0610;11f0;26080212677151482;26080212677173691;26080212719171408;1;0.959713;kmeans_kernel_c
0;0x1854930;11f3;26080212719222317;26080212719222980;26080212719593439;1;0.00846664;-
0;0x1854bb0;11f4;26080212732943332;26080212732944850;26080212732947803;1;6.7342e-05;-
0;0x1854f40;11f0;26080212732994163;26080212733005655;26080212774502690;1;0.946003;kmeans_kernel_c
0;0x1855690;11f3;26080212774555391;26080212774555972;26080212774926883;1;0.00845563;-
0;0x1855910;11f4;26080212788241713;26080212788243358;26080212788246339;1;6.79803e-05;-
0;0x19ba870;11f0;26080212788295304;26080212788306688;26080212830778280;1;0.972615;kmeans_kernel_c
0;0x19bacc0;11f3;26080212830832497;26080212830833118;26080212831206226;1;0.00856985;-
0;0x19be020;11f4;26080212844650625;26080212844652183;26080212844655251;1;7.04911e-05;-
0;0x19baf40;11f0;26080212844701820;26080212844713863;26080212886381093;1;0.957044;kmeans_kernel_c
0;0x19be420;11f3;26080212886437416;26080212886437977;26080212886811536;1;0.00858021;-
0;0x1941230;11f4;26080212900306172;26080212900307710;26080212900310880;1;7.28339e-05;-
0;0x19415c0;11f0;26080212900357221;26080212900369468;26080212942870560;1;0.978933;kmeans_kernel_c
0;0x1852320;11f3;26080212942923705;26080212942924287;26080212943294132;1;0.0085079;-
0;0x18525a0;11f4;26080212956765963;26080212956767576;26080212956770763;1;7.33365e-05;-
0;0x1852820;11f0;26080212956816667;26080212956828654;26080212999750848;1;0.987378;kmeans_kernel_c
0;0x1852b60;11f3;26080212999934221;26080212999935182;26080213000318821;1;0.00882522;-
0;0x1967f20;11f4;26080213014080572;26080213014082124;26080213014085178;1;7.02769e-05;-
0;0x19683b0;11f0;26080213014135687;26080213014158684;26080213055886861;1;0.961189;kmeans_kernel_c
0;0x19686f0;11f3;26080213055941665;26080213055942228;26080213056322118;1;0.00875678;-
0;0x1863f40;11f4;26080213069681004;26080213069682671;26080213069685829;1;7.28174e-05;-
0;0x18641c0;11f0;26080213069734152;26080213069746297;26080213111286756;1;0.95754;kmeans_kernel_c
0;0x1864610;11f3;26080213111339676;26080213111340342;26080213111712263;1;0.00857309;-
0;0x1864890;11f4;26080213125128082;26080213125129818;26080213125132998;1;7.32748e-05;-
0;0x1864b10;11f0;26080213125179450;26080213125192614;26080213167215647;1;0.968007;kmeans_kernel_c
0;0x1931d40;11f3;26080213167270997;26080213167271570;26080213167642478;1;0.00854395;-
0;0x19320d0;11f4;26080213180929419;26080213180931132;26080213180934532;1;7.83426e-05;-
0;0x1932460;11f0;26080213180981955;26080213180994631;26080213223030492;1;0.968404;kmeans_kernel_c
0;0x19403d0;11f3;26080213223096815;26080213223097495;26080213223468645;1;0.00855387;-
0;0x1940650;11f4;26080213236671936;26080213236673571;26080213236676859;1;7.58012e-05;-
0;0x19408d0;11f0;26080213236723461;26080213236737265;26080213279871692;1;0.994114;kmeans_kernel_c
0;0x1940d20;11f3;26080213280059394;26080213280059923;26080213280432657;1;0.00859038;-
0;0x1940fa0;11f4;26080213294199554;26080213294201401;26080213294204545;1;7.24824e-05;-
0;0x1966fd0;11f0;26080213294253305;26080213294269453;26080213337182976;1;0.992679;kmeans_kernel_c
0;0x1967420;11f3;26080213337367943;26080213337368528;26080213337749870;1;0.00882898;-
0;0x19676a0;11f4;26080213351650395;26080213351652013;26080213351655106;1;7.16334e-05;-
0;0x1967920;11f0;26080213351702289;26080213351717503;26080213393297951;1;0.962685;kmeans_kernel_c
0;0x193dd10;11f3;26080213393349132;26080213393349693;26080213393721451;1;0.00860709;-
0;0x193e110;11f4;26080213407171414;26080213407173072;26080213407176168;1;7.17028e-05;-
0;0x193e390;11f0;26080213407223891;26080213407238406;26080213449129735;1;0.969882;kmeans_kernel_c
0;0x193e6d0;11f3;26080213449315089;26080213449315932;26080213449689610;1;0.00866468;-
0;0x193e950;11f4;26080213463006499;26080213463008250;26080213463011333;1;7.15103e-05;-
0;0x193eda0;11f0;26080213463060343;26080213463073650;26080213509066086;1;1.06645;kmeans_kernel_c
0;0x193f1f0;11f3;26080213509250134;26080213509250706;26080213509622196;1;0.00861395;-
0;0x193f470;11f4;26080213523841836;26080213523843381;26080213523846647;1;7.56387e-05;-
0;0x193f6f0;11f0;26080213523892965;26080213523907586;26080213569643084;1;1.05888;kmeans_kernel_c
0;0x193fb40;11f3;26080213569827569;26080213569828031;26080213570201902;1;0.00865601;-
0;0x193fdc0;11f4;26080213584382011;26080213584383620;26080213584386623;1;6.95496e-05;-
0;0x1940040;11f0;26080213584433831;26080213584448502;26080213626845274;1;0.981945;kmeans_kernel_c
0;0x1922a10;11f3;26080213627028867;26080213627029461;26080213627401483;1;0.00860303;-
0;0x1853fb0;11f4;26080213641012090;26080213641013744;26080213641016754;1;6.96294e-05;-
0;0x193eb10;11f0;26080213641064941;26080213641079467;26080213682648109;1;0.961275;kmeans_kernel_c
0;0x19680c0;11f3;26080213682701359;26080213682702041;26080213683070449;1;0.00851946;-
0;0x19230a0;11f4;26080213696411152;26080213696412800;26080213696416255;1;7.992e-05;-
0;0x1923240;11f0;26080213696458202;26080213696472147;26080213737947966;1;0.961337;kmeans_kernel_c
0;0x19233c0;11f3;26080213737999257;26080213737999818;26080213738374163;1;0.00871086;-
0;0x1923560;11f4;26080213751769420;26080213751771142;26080213751774602;1;8.05358e-05;-
0;0x1923700;11f0;26080213751821916;26080213751834964;26080213797921385;1;1.07241;kmeans_kernel_c
0;0x1923880;11f3;26080213798105792;26080213798106330;26080213798477354;1;0.00863358;-
0;0x1923a20;11f4;26080213812618738;26080213812620417;26080213812623741;1;7.73712e-05;-
0;0x1923bc0;11f0;26080213812672155;26080213812687155;26080213854631687;1;0.974781;kmeans_kernel_c
0;0x1923d40;11f3;26080213854812049;26080213854812852;26080213855188061;1;0.00872656;-
0;0x1923ee0;11f4;26080213868556619;26080213868558347;26080213868561458;1;7.23783e-05;-
0;0x191a650;11f0;26080213868609257;26080213868624551;26080213911470500;1;0.996503;kmeans_kernel_c
0;0x191a990;11f3;26080213911654069;26080213911654659;26080213912038101;1;0.00891805;-
0;0x191ad90;11f4;26080213925811447;26080213925813000;26080213925816092;1;7.1876e-05;-
0;0x191b010;11f0;26080213925863493;26080213925879737;26080213967946445;1;0.977558;kmeans_kernel_c
0;0x191b350;11f3;26080213968129062;26080213968129636;26080213968500429;1;0.00861662;-
0;0x191b5d0;11f4;26080213982059972;26080213982061517;26080213982064553;1;7.05747e-05;-
0;0x191b850;11f0;26080213982114090;26080213982148637;26080214023651425;1;0.964642;kmeans_kernel_c
0;0x191bb90;11f3;26080214023705174;26080214023705763;26080214024100074;1;0.00917083;-
0;0x1855d50;11f4;26080214037583940;26080214037585708;26080214037588937;1;7.51227e-05;-
0;0x1855fd0;11f0;26080214037636607;26080214037650913;26080214079149916;1;0.965176;kmeans_kernel_c
0;0x1856310;11f3;26080214079202192;26080214079202731;26080214079573844;1;0.0086313;-
0;0x1856590;11f4;26080214092975702;26080214092977668;26080214092980593;1;6.80524e-05;-
0;0x1856810;11f0;26080214093027813;26080214093040180;26080214134437196;1;0.964055;kmeans_kernel_c
0;0x1856b50;11f3;26080214134488483;26080214134489051;26080214134858213;1;0.00862197;-
0;0x1856dd0;11f4;26080214148174704;26080214148176233;26080214148179191;1;6.91088e-05;-
0;0x1857050;11f0;26080214148226981;26080214148240643;26080214191021091;1;0.999157;kmeans_kernel_c
0;0x1857390;11f3;26080214191205372;26080214191205974;26080214191575850;1;0.00863865;-
0;0x1857610;11f4;26080214205363425;26080214205365001;26080214205367938;1;6.86184e-05;-
0;0x1941b20;11f0;26080214205416039;26080214205428547;26080214247324902;1;0.979386;kmeans_kernel_c
0;0x1941e60;11f3;26080214247439842;26080214247440335;26080214247813274;1;0.00871602;-
0;0x19420e0;11f4;26080214261544834;26080214261546486;26080214261549746;1;7.62131e-05;-
0;0x1942360;11f0;26080214261598471;26080214261632710;26080214304575438;1;1.00362;kmeans_kernel_c
0;0x19426a0;11f3;26080214304757322;26080214304758111;26080214305132817;1;0.00875731;-
0;0x1942920;11f4;26080214318519569;26080214318521545;26080214318524535;1;6.99029e-05;-
0;0x1942ba0;11f0;26080214318569936;26080214318583701;26080214360394595;1;0.972443;kmeans_kernel_c
0;0x1942ee0;11f3;26080214360447248;26080214360447799;26080214360821921;1;0.00874805;-
0;0x1943160;11f4;26080214374403736;26080214374405409;26080214374408417;1;7.03589e-05;-
0;0x19433e0;11f0;26080214374455611;26080214374470209;26080214420029006;1;1.06532;kmeans_kernel_c
0;0x193baa0;11f3;26080214420101588;26080214420102261;26080214420472517;1;0.00861137;-
0;0x193be30;11f4;26080214433955521;26080214433957112;26080214433960267;1;7.34017e-05;-
0;0x193c040;11f0;26080214434011201;26080214434026045;26080214476292832;1;0.983033;kmeans_kernel_c
0;0x193c310;11f3;26080214476476901;26080214476477694;26080214476852117;1;0.00870828;-
0;0x193c590;11f4;26080214490098422;26080214490100073;26080214490103159;1;7.17969e-05;-
0;0x193c7a0;11f0;26080214490150719;26080214490163896;26080214533014641;1;0.983663;kmeans_kernel_c
0;0x193ca70;11f3;26080214533196735;26080214533197559;26080214533572042;1;0.00877112;-
